Prueba #, N, Tiempo total, Iterativa, Recursiva, Errores
1.0,10.0,3.30129E7,2362700.0,2254200.0,0.0
2.0,11.0,2.01195E7,1537300.0,976100.0,0.0
3.0,12.0,9593600.0,2824500.0,1352600.0,0.0
4.0,13.0,1.42322E7,1441100.0,4071900.0,0.0
5.0,14.0,9303400.0,1105900.0,2179100.0,0.0
6.0,15.0,2.15671E7,1437900.0,8691400.0,0.0
7.0,16.0,1.64541E7,1829700.0,2101200.0,0.0
8.0,17.0,1.8896E7,2136800.0,5102900.0,0.0
9.0,18.0,1.87533E7,2445500.0,4030200.0,0.0
10.0,19.0,1.92244E7,4370400.0,3156000.0,0.0
11.0,20.0,2.29821E7,2223100.0,3042900.0,0.0
12.0,21.0,3.59246E7,7351700.0,9092000.0,0.0
13.0,22.0,5.47827E7,4225500.0,7656100.0,0.0
14.0,23.0,8.88936E7,7677600.0,1.34981E7,0.0
15.0,24.0,6.8685E7,6449300.0,1.17979E7,0.0
16.0,25.0,6.19573E7,7717300.0,1.56846E7,0.0
17.0,26.0,5.88211E7,9180900.0,0.0,1.0
18.0,27.0,5.97953E7,9962200.0,0.0,1.0
19.0,28.0,6.48087E7,2.25849E7,0.0,1.0
20.0,29.0,3.27699E7,8658000.0,0.0,1.0
